0	0
1	0
2	2
3	2
4	0
5	3
6	4
7	5
8	6
9	2
10	6
11	4
12	7
13	2
14	8
15	2
16	5
17	2
18	8
19	8
20	3
21	8
22	3
23	3
24	6
25	4
26	0
27	3
28	5
29	6
30	8
31	6
32	3
33	0
34	6
35	6
36	4
37	8
38	5
39	6
40	3
41	2
42	2
43	3
44	3
45	8
46	6
47	6
48	3
49	4
50	0
51	8
52	4
53	0
54	0
55	6
56	2
57	2
58	5
59	1
60	3
61	6
62	8
63	6
64	0
65	6
66	6
67	5
68	0
69	3
70	5
71	1
72	3
73	5
74	3
75	0
76	3
77	5
78	3
79	3
80	3
81	7
82	5
83	4
84	4
85	3
86	6
87	6
88	3
89	9
90	0
91	3
92	2
93	3
94	3
95	8
96	2
97	6
98	8
99	1
100	6
101	4
102	9
103	0
104	0
105	3
106	5
107	5
108	5
109	5
110	3
111	2
112	4
113	6
114	3
115	2
116	6
117	5
118	0
119	5
120	6
121	0
122	8
123	3
124	5
125	6
126	9
127	0
128	4
129	5
130	2
131	6
132	8
133	5
134	8
135	8
136	8
137	2
138	3
139	3
140	3
141	5
142	0
143	0
144	4
145	9
146	3
147	0
148	3
149	4
150	7
151	8
152	4
153	3
154	4
155	3
156	0
157	5
158	8
159	8
160	0
161	6
162	1
163	8
164	8
165	0
166	0
167	6
168	2
169	4
170	4
171	6
172	3
173	8
174	3
175	0
176	6
177	6
178	11
179	8
180	5
181	9
182	2
183	2
184	4
185	3
186	0
187	8
188	8
189	3
190	8
191	5
192	0
193	5
194	5
195	4
196	5
197	2
198	0
199	2
200	4
201	4
202	2
203	6
204	2
205	2
206	6
207	4
208	8
209	6
210	6
211	5
212	4
213	5
214	8
215	8
216	7
217	4
218	8
219	5
220	4
221	8
222	0
223	2
224	2
225	9
226	2
227	7
228	6
229	2
230	0
231	2
232	2
233	4
234	4
235	6
236	6
237	5
238	8
239	8
240	0
241	6
242	5
243	5
244	6
245	5
246	2
247	4
248	4
249	8
250	8
251	8
252	8
253	0
254	4
255	6
256	5
257	8
258	4
259	6
260	8
261	2
262	4
263	5
264	8
265	6
266	5
267	4
268	6
269	4
270	11
271	6
272	5
273	2
274	4
275	4
276	0
277	4
278	4
279	5
280	6
281	0
282	2
283	4
284	6
285	2
286	6
287	8
288	8
289	8
290	0
291	0
292	8
293	6
294	5
295	6
296	4
297	0
298	8
299	0
300	8
301	0
302	2
303	6
304	8
305	8
306	2
307	0
308	5
309	2
310	2
311	6
312	4
313	2
314	0
315	8
316	3
317	8
318	2
319	6
320	5
321	5
322	0
323	8
324	8
325	6
326	2
327	6
328	5
329	2
330	5
331	6
332	4
333	11
334	5
335	5
336	6
337	3
338	4
339	0
340	0
341	3
342	4
343	2
344	3
345	3
346	4
347	3
348	5
349	8
350	6
351	0
352	8
353	6
354	0
355	5
356	0
357	6
358	2
359	8
360	6
361	4
362	9
363	3
364	4
365	0
366	2
367	4
368	4
369	4
370	3
371	0
372	5
373	6
374	2
375	4
376	2
377	0
378	2
379	8
380	6
381	4
382	3
383	7
384	0
385	2
386	6
387	0
388	0
389	3
390	2
391	5
392	4
393	5
394	5
395	5
396	4
397	3
398	6
399	6
400	2
401	5
402	4
403	5
404	6
405	2
406	6
407	3
408	3
409	2
410	8
411	4
412	3
413	3
414	0
415	3
416	4
417	3
418	2
419	1
420	5
421	5
422	5
423	8
424	0
425	0
426	8
427	4
428	0
429	6
430	0
431	4
432	0
433	3
434	2
435	5
436	0
437	2
438	2
439	6
440	6
441	5
442	5
443	8
444	6
445	5
446	3
447	2
448	2
449	1
450	2
451	0
452	8
453	11
454	8
455	2
456	8
457	2
458	5
459	6
460	11
461	6
462	6
463	6
464	3
465	0
466	4
467	8
468	3
469	0
470	2
471	8
472	5
473	2
474	5
475	3
476	5
477	4
478	4
479	3
480	8
481	5
482	4
483	5
484	3
485	8
486	4
487	8
488	5
489	8
490	4
491	0
492	7
493	2
494	0
495	8
496	4
497	0
498	3
499	4
500	3
501	6
502	6
503	3
504	3
505	4
506	6
507	5
508	0
509	3
510	4
511	9
512	2
513	3
514	3
515	0
516	4
517	4
518	6
519	5
520	4
521	3
522	4
523	2
524	4
525	5
526	3
527	4
528	8
529	6
530	8
531	3
532	2
533	4
